bank_txn_id,txn_date,narration,credit_amount
BNK0041,2026-08-07,Verma Electronics NEFT/910891/TXN,28942.26
BNK0043,2026-08-18,Anand Motors,26126.88
BNK0003,2026-08-17,Konkan oFods,9628.78
BNK0050,2026-08-07,Nakoda Fabrics,11862.87
BNK0052,2026-08-13,Global Spares Ltd,9952.15
BNK0027,2026-08-22,O mSai Enterprises,86880.23
BNK0035,2026-08-28,Konkan Foods NEFT/255287/TXN,47630.13
BNK0037,2026-08-25,Blue tSar Distributors,16458.32
BNK0042,2026-08-27,GlobalS pares Ltd,1801.44
BNK0040,2026-08-12,Patil Logistics,73363.98
BNK0025,2026-08-22,Anand Motors NEFT/751332/TXN,53574.8
BNK0055,2026-08-16,INTEREST CREDIT,712.69
BNK0047,2026-08-22,Konkan oFods,87379.14
BNK0004,2026-08-02,Om Sai Enterprises NEFT/847581/TXN,48739.49
BNK0028,2026-08-24,Anand Motors NEFT/208618/TXN,30898.6
BNK0060,2026-08-16,NEFT REFUND-UNAPPLIED,1985.37
BNK0022,2026-08-24,Blu eStar Distributors,17501.46
BNK0011,2026-08-04,Anand Motors NEFT/863587/TXN,44456.23
BNK0054,2026-09-02,POS SETTLEMENT-MISC,1038.81
BNK0020,2026-08-23,Om Sai Enterprises,64162.38
BNK0034,2026-08-05,Dsehmukh & Co,22006.49
BNK0058,2026-08-05,RTGS-UNKNOWN PARTY,1272.6
BNK0018,2026-08-28,Patil Logistics,43893.36
BNK0053,2026-08-09,Anand Motors,5054.45
BNK0051,2026-08-25,Patil Logistics,5783.29
BNK0048,2026-08-04,Deshmukh & Co,47184.63
BNK0032,2026-08-20,Konkan Foods NEFT/449759/TXN,26045.92
BNK0049,2026-08-27,Deshmukh &C o,83660.0
BNK0039,2026-08-27,Blue Star Distributors NEFT/140605/TXN,84205.55
BNK0057,2026-08-16,RTGS-UNKNOWN PARTY,1853.26
BNK0014,2026-08-23,Deshmukh & Co,55482.43
BNK0023,2026-08-14,Om Sai Enterprises NEFT/802258/TXN,16780.13
BNK0033,2026-08-16,Nakoda aFbrics,85446.44
BNK0031,2026-08-18,Kolhapu rTraders,24559.67
BNK0036,2026-08-08,Sharma Textiles,82013.12
BNK0024,2026-08-21,Patil Logisitcs,94020.43
BNK0005,2026-08-08,Anand Motors,52452.03
BNK0015,2026-08-08,Verma Electronics,5784.58
BNK0030,2026-08-09,Blue StarD istributors,44402.65
BNK0029,2026-08-30,Global Spares Ltd NEFT/395442/TXN,38491.58
BNK0056,2026-08-13,NEFT REFUND-UNAPPLIED,122.05
BNK0045,2026-08-24,Blue Star Distributors,29404.59
BNK0019,2026-08-12,Deshmuhk & Co,16706.16
BNK0061,2026-08-01,BANK CHARGES-GST,2346.34
BNK0021,2026-08-20,Blue Sta rDistributors,62091.31
BNK0026,2026-08-04,Sharma Textiles,22913.99
BNK0007,2026-08-06,Sharma Textiles,72446.49
BNK0046,2026-08-05,Konkan Foods NEFT/552248/TXN,58436.71
BNK0008,2026-08-28,Kolhapur Traders,21631.84
BNK0059,2026-08-13,RTGS-UNKNOWN PARTY,1508.41
BNK0002,2026-08-27,Anand Motors NEFT/903035/TXN,11075.78
BNK0017,2026-08-15,Om Sai Enterprises NEFT/543555/TXN,82516.22
BNK0001,2026-08-25,Blue Star Distributors NEFT/352572/TXN,11886.89
BNK0016,2026-08-28,Patil Logistics NEFT/161483/TXN,93618.21
BNK0006,2026-08-26,Globla Spares Ltd,56596.34
BNK0012,2026-08-10,Nakoda Fabrics,8867.82
BNK0010,2026-08-14,Verma Electronics NEFT/531071/TXN,35065.07
BNK0009,2026-08-15,Deshmukh & Co,11057.16
BNK0013,2026-08-28,Blue Star Distributors NEFT/585100/TXN,59331.6
BNK0044,2026-08-07,Kolhapur Traders NEFT/636265/TXN,48966.24
BNK0038,2026-08-04,Sharma Textiles NEFT/266931/TXN,65106.5
