bank_txn_id,invoice_id
BNK0001,INV0001
,INV0002
BNK0002,INV0003
BNK0003,INV0004
,INV0005
BNK0004,INV0006
,INV0007
BNK0005,INV0008
BNK0006,INV0009
BNK0007,INV0010
,INV0011
BNK0008,INV0012
BNK0009,INV0013
BNK0010,INV0014
,INV0015
BNK0011,INV0016
BNK0012,INV0017
BNK0013,INV0018
BNK0014,INV0019
BNK0015,INV0020
BNK0016,INV0021
BNK0017,INV0022
BNK0018,INV0023
BNK0019,INV0024
BNK0020,INV0025
BNK0021,INV0026
BNK0022,INV0027
BNK0023,INV0028
BNK0024,INV0029
BNK0025,INV0030
,INV0031
BNK0026,INV0032
,INV0033
BNK0027,INV0034
BNK0028,INV0035
BNK0029,INV0036
BNK0030,INV0037
BNK0031,INV0038
BNK0032,INV0039
BNK0033,INV0040
BNK0034,INV0041
BNK0035,INV0042
BNK0036,INV0043
BNK0037,INV0044
,INV0045
,INV0046
,INV0047
BNK0038,INV0048
BNK0039,INV0049
BNK0040,INV0050
BNK0041,INV0051
BNK0042,INV0052
BNK0043,INV0053
BNK0044,INV0054
BNK0045,INV0055
BNK0046,INV0056
,INV0057
BNK0047,INV0058
BNK0048,INV0059
BNK0049,INV0060
BNK0050,INV0062
,INV0061
BNK0051,INV0064
,INV0063
BNK0052,INV0066
,INV0065
BNK0053,INV0068
,INV0067
BNK0054,
BNK0055,
BNK0056,
BNK0057,
BNK0058,
BNK0059,
BNK0060,
BNK0061,
