invoice_id,invoice_date,party_name,invoice_amount
INV0042,2026-08-25,KONKFOOD,47643.73
INV0029,2026-08-21,Patil Logistics,94020.43
INV0046,2026-08-15,Nakoda Fabrics,57215.57
INV0053,2026-08-17,Anand Motors,26126.88
INV0033,2026-08-03,Deshmukh & Co,39008.91
INV0066,2026-08-13,Global Spares Ltd,9952.15
INV0057,2026-08-18,Deshmukh & Co,72794.76
INV0001,2026-08-24,Blue Star Distributors,11909.45
INV0062,2026-08-07,Nakoda Fabrics,11862.87
INV0045,2026-08-13,Nakoda Fabrics,57264.24
INV0011,2026-08-09,Anand Motors,41014.45
INV0031,2026-08-25,Deshmukh & Co,80306.65
INV0037,2026-08-09,BLUESTARDIST,44402.65
INV0002,2026-08-05,Patil Logistics,24397.39
INV0024,2026-08-12,Deshmukh & Co,16708.16
INV0056,2026-08-05,KONKFOOD,58438.71
INV0060,2026-08-27,Deshmukh & Co,83660.5
INV0010,2026-08-06,SHARTEXT,72448.49
INV0026,2026-08-20,Blue Star Distributors,62091.31
INV0014,2026-08-12,Verma Electronics,35064.57
INV0028,2026-08-13,OMSAIENTE,16778.13
INV0009,2026-08-26,Global Spares Ltd,56596.34
INV0030,2026-08-22,Anand Motors,53574.8
INV0061,2026-08-06,Nakoda Fabrics,11862.87
INV0018,2026-08-28,Blue Star Distributors,59331.6
INV0067,2026-08-08,Anand Motors,5054.45
INV0051,2026-08-06,Verma Electronics,28942.26
INV0064,2026-08-25,Patil Logistics,5783.29
INV0013,2026-08-13,DESH&CO,11056.66
INV0015,2026-08-02,Raj Hardware,26232.7
INV0052,2026-08-24,GLOBSPARLTD,1803.44
INV0017,2026-08-10,Nakoda Fabrics,8867.82
INV0003,2026-08-24,Anand Motors,11083.3
INV0036,2026-08-30,Global Spares Ltd,38491.58
INV0020,2026-08-08,VERMELEC,5784.58
INV0054,2026-08-04,Kolhapur Traders,48968.24
INV0007,2026-08-21,KONKFOOD,20091.32
INV0047,2026-08-18,Konkan Foods,25007.22
INV0025,2026-08-23,Om Sai Enterprises,64161.38
INV0006,2026-08-01,OMSAIENTE,48750.72
INV0049,2026-08-25,Blue Star Distributors,84227.72
INV0034,2026-08-19,Om Sai Enterprises,86878.23
INV0055,2026-08-21,BLUESTARDIST,29404.59
INV0059,2026-08-04,DESH&CO,47184.63
INV0065,2026-08-12,Global Spares Ltd,9952.15
INV0043,2026-08-05,Sharma Textiles,82013.12
INV0005,2026-08-07,SHARTEXT,4286.04
INV0039,2026-08-19,Konkan Foods,26066.34
INV0004,2026-08-14,KONKFOOD,9628.78
INV0040,2026-08-13,Nakoda Fabrics,85446.44
INV0038,2026-08-18,Kolhapur Traders,24559.67
INV0021,2026-08-28,Patil Logistics,93618.21
INV0027,2026-08-24,BLUESTARDIST,17501.46
INV0058,2026-08-20,KONKFOOD,87379.14
INV0048,2026-08-04,Sharma Textiles,65106.5
INV0022,2026-08-13,Om Sai Enterprises,82516.22
INV0063,2026-08-24,Patil Logistics,5783.29
INV0032,2026-08-02,Sharma Textiles,22915.99
INV0050,2026-08-11,Patil Logistics,73363.98
INV0035,2026-08-21,Anand Motors,30922.38
INV0008,2026-08-08,ANANMOTO,52452.03
INV0068,2026-08-09,Anand Motors,5054.45
INV0012,2026-08-25,Kolhapur Traders,21631.84
INV0019,2026-08-23,Deshmukh & Co,55482.43
INV0044,2026-08-22,Blue Star Distributors,16458.32
INV0023,2026-08-27,PATILOGI,43893.86
INV0016,2026-08-04,ANANMOTO,44456.23
INV0041,2026-08-05,Deshmukh & Co,22006.49
